goods_to_declare,update_time,estimated_shipping_fee,total_amount,service_code,payment_method,country,escrow_amount,message_to_seller,shipping_carrier,days_to_ship,currency,create_time,cod,items,tracking_no,order_status,actual_shipping_cost,recipient_address,ordersn
False,1510222939,5000,148500,,PAY_IPAY88,ID,148500,,JNE Reguler,3,IDR,1510134323,False,"[{""sku"": 9082, ""item_name"": ""Cetaphil Oily Skin Cleanser 125ml"", ""item_sku"": 157248, ""variation_discounted_price"": ""143500"", ""variation_id"": 904815, ""variation_name"": """", ""item_id"": 746503, ""variation_quantity_purchased"": 1, ""variation_sku"": 308327, ""variation_original_price"": ""225000""}]",25959066,READY_TO_SHIP,0,"{""town"": """", ""city"": ""KAB. AGAM"", ""name"": ""Random Person 11"", ""district"": ""District 11"", ""country"": ""ID"", ""zipcode"": 1244, ""full_address"": ""Address 11 at 1245"", ""phone"": ""12345-6789"", ""state"": ""SUMATERA BARAT""}",shopee-order-id-11
False,1510237765,0,150000,,PAY_CYBERSOURCE,ID,159000,,JNE Reguler,3,IDR,1510106875,False,"[{""sku"": 1676, ""item_name"": ""Dermafleece Max Growth Premium - Serum Penumbuh Bulu Mata & Alis"", ""item_sku"": 255651, ""variation_discounted_price"": ""150000"", ""variation_id"": 850925, ""variation_name"": """", ""item_id"": 977423, ""variation_quantity_purchased"": 1, ""variation_sku"": 328069, ""variation_original_price"": ""150000""}]",32995386,COMPLETED,9000,"{""town"": """", ""city"": ""KOTA JAKARTA PUSAT"", ""name"": ""Random Person 12"", ""district"": ""District 12"", ""country"": ""ID"", ""zipcode"": 1245, ""full_address"": ""Address 12 at 1246"", ""phone"": ""12345-6789"", ""state"": ""DKI JAKARTA""}",shopee-order-id-12
False,1510280948,0,194750,,PAY_CYBERSOURCE,ID,208750,,JNE Reguler,3,IDR,1510101759,False,"[{""sku"": 6003, ""item_name"": ""Herbal Essences Color Me Happy Conditioner (300ml)"", ""item_sku"": 826195, ""variation_discounted_price"": ""97375"", ""variation_id"": 522328, ""variation_name"": """", ""item_id"": 627591, ""variation_quantity_purchased"": 1, ""variation_sku"": 467451, ""variation_original_price"": ""97375""}, {""sku"": 4968, ""item_name"": ""Herbal Essences Color Me Happy Shampoo (300ml)"", ""item_sku"": 416438, ""variation_discounted_price"": ""97375"", ""variation_id"": 247010, ""variation_name"": """", ""item_id"": 146981, ""variation_quantity_purchased"": 1, ""variation_sku"": 759061, ""variation_original_price"": ""97375""}]",68373695,SHIPPED,14000,"{""town"": """", ""city"": ""KAB. BANDUNG BARAT"", ""name"": ""Random Person 13"", ""district"": ""District 13"", ""country"": ""ID"", ""zipcode"": 1246, ""full_address"": ""Address 13 at 1247"", ""phone"": ""12345-6789"", ""state"": ""JAWA BARAT""}",shopee-order-id-13
False,1510280984,0,226900,,PAY_IPAY88,ID,245900,,JNE Reguler,3,IDR,1510099817,False,"[{""sku"": 6103, ""item_name"": ""OGX Biotin & Collagen Shampoo 385ml - Shampoo Menebalkan Rambut"", ""item_sku"": 188105, ""variation_discounted_price"": ""226900"", ""variation_id"": 916350, ""variation_name"": """", ""item_id"": 573789, ""variation_quantity_purchased"": 1, ""variation_sku"": 959603, ""variation_original_price"": ""226900""}]",57922307,SHIPPED,19000,"{""town"": """", ""city"": ""KOTA SURABAYA"", ""name"": ""Random Person 14"", ""district"": ""District 14"", ""country"": ""ID"", ""zipcode"": 1247, ""full_address"": ""Address 14 at 1248"", ""phone"": ""12345-6789"", ""state"": ""JAWA TIMUR""}",shopee-order-id-14
False,1510280998,65000,110000,,PAY_IPAY88,ID,110000,,JNE Reguler,3,IDR,1510126218,False,"[{""sku"": 6765, ""item_name"": ""Cottage Shower Gel 250ml - Sabun Mandi Shower Gel"", ""item_sku"": 542998, ""variation_discounted_price"": ""45000"", ""variation_id"": 181529, ""variation_name"": ""White Peach 250ml"", ""item_id"": 106634, ""variation_quantity_purchased"": 1, ""variation_sku"": 257077, ""variation_original_price"": ""45000""}]",98495587,SHIPPED,65000,"{""town"": """", ""city"": ""KAB. MAJENE"", ""name"": ""Random Person 15"", ""district"": ""District 15"", ""country"": ""ID"", ""zipcode"": 1248, ""full_address"": ""Address 15 at 1249"", ""phone"": ""12345-6789"", ""state"": ""SULAWESI BARAT""}",shopee-order-id-15
False,1510281506,0,143500,,PAY_SHOPEE_WALLET,ID,152500,,JNE Reguler,3,IDR,1510132381,False,"[{""sku"": 8132, ""item_name"": ""Cetaphil Oily Skin Cleanser 125ml"", ""item_sku"": 771641, ""variation_discounted_price"": ""143500"", ""variation_id"": 410039, ""variation_name"": """", ""item_id"": 996843, ""variation_quantity_purchased"": 1, ""variation_sku"": 937236, ""variation_original_price"": ""225000""}]",34345316,SHIPPED,9000,"{""town"": """", ""city"": ""KOTA JAKARTA UTARA"", ""name"": ""Random Person 16"", ""district"": ""District 16"", ""country"": ""ID"", ""zipcode"": 1249, ""full_address"": ""Address 16 at 1250"", ""phone"": ""12345-6789"", ""state"": ""DKI JAKARTA""}",shopee-order-id-16
False,1510281526,0,111700,,PAY_IPAY88,ID,120700,,JNE Reguler,3,IDR,1510136735,False,"[{""sku"": 5931, ""item_name"": ""Moko Moko Lip Honey Tint Marker Lip Tint  - Warna Pigmented Tahan Lama Lip Tint"", ""item_sku"": 527359, ""variation_discounted_price"": ""52100"", ""variation_id"": 285912, ""variation_name"": ""Neon Pink"", ""item_id"": 759954, ""variation_quantity_purchased"": 1, ""variation_sku"": 351322, ""variation_original_price"": ""79000""}, {""sku"": 6192, ""item_name"": ""Moko Moko Smooth Creamy Gel Eyeliner black - Warna Pigmented Tahan Lama Eyeliner"", ""item_sku"": 162126, ""variation_discounted_price"": ""59600"", ""variation_id"": 397734, ""variation_name"": """", ""item_id"": 360402, ""variation_quantity_purchased"": 1, ""variation_sku"": 934105, ""variation_original_price"": ""89000""}]",31929234,SHIPPED,9000,"{""town"": """", ""city"": ""KAB. BEKASI"", ""name"": ""Random Person 17"", ""district"": ""District 17"", ""country"": ""ID"", ""zipcode"": 1250, ""full_address"": ""Address 17 at 1251"", ""phone"": ""12345-6789"", ""state"": ""JAWA BARAT""}",shopee-order-id-17
False,1510281546,0,101800,,PAY_IPAY88,ID,134800,,JNE REG,3,IDR,1510141051,False,"[{""sku"": 9826, ""item_name"": ""Moko Moko Lip Honey Tint Marker Lip Tint  - Warna Pigmented Tahan Lama Lip Tint"", ""item_sku"": 657828, ""variation_discounted_price"": ""52100"", ""variation_id"": 609839, ""variation_name"": ""Fuschia"", ""item_id"": 422026, ""variation_quantity_purchased"": 1, ""variation_sku"": 940308, ""variation_original_price"": ""79000""}, {""sku"": 8583, ""item_name"": ""Moko Moko Sugar Lips Lipstick Satin Creamy - Lipstik"", ""item_sku"": 635046, ""variation_discounted_price"": ""49700"", ""variation_id"": 280742, ""variation_name"": ""Peach"", ""item_id"": 357224, ""variation_quantity_purchased"": 1, ""variation_sku"": 633200, ""variation_original_price"": ""79000""}]",57551316,SHIPPED,33000,"{""town"": """", ""city"": ""KOTA LUBUK LINGGAU"", ""name"": ""Random Person 18"", ""district"": ""District 18"", ""country"": ""ID"", ""zipcode"": 1251, ""full_address"": ""Address 18 at 1252"", ""phone"": ""12345-6789"", ""state"": ""SUMATERA SELATAN""}",shopee-order-id-18
False,1510281567,0,164050,,PAY_CYBERSOURCE,ID,173100,"Mohon barang segera dikirim, Pls Good Packing, cek kembali barang yg akan dikirim u/ menhindari brg rusak/reject. Terima Kasih",JNE REG,3,IDR,1510146693,False,"[{""sku"": 8841, ""item_name"": ""Moreish Exfoliator 75ml - Scrub Wajah Bahan Alami Mencerahkan Menghaluskan"", ""item_sku"": 220420, ""variation_discounted_price"": ""164100"", ""variation_id"": 564180, ""variation_name"": """", ""item_id"": 936866, ""variation_quantity_purchased"": 1, ""variation_sku"": 477820, ""variation_original_price"": ""220000""}]",10503717,SHIPPED,9000,"{""town"": """", ""city"": ""KOTA JAKARTA PUSAT"", ""name"": ""Random Person 19"", ""district"": ""District 19"", ""country"": ""ID"", ""zipcode"": 1252, ""full_address"": ""Address 19 at 1253"", ""phone"": ""12345-6789"", ""state"": ""DKI JAKARTA""}",shopee-order-id-19
False,1510281590,0,177546,,PAY_IPAY88,ID,208200,,JNE REG,3,IDR,1510148441,False,"[{""sku"": 1510, ""item_name"": ""Palmer's Massage Lotion for Stretch Marks (250ml) - Aman Untk Ibu Hamil Dan Menyusi"", ""item_sku"": 293853, ""variation_discounted_price"": ""178200"", ""variation_id"": 531565, ""variation_name"": """", ""item_id"": 911883, ""variation_quantity_purchased"": 1, ""variation_sku"": 406501, ""variation_original_price"": ""201538""}]",16500318,SHIPPED,30000,"{""town"": """", ""city"": ""KAB. TULUNGAGUNG"", ""name"": ""Random Person 20"", ""district"": ""District 20"", ""country"": ""ID"", ""zipcode"": 1253, ""full_address"": ""Address 20 at 1254"", ""phone"": ""12345-6789"", ""state"": ""JAWA TIMUR""}",shopee-order-id-20
False,1510281741,0,256912,,PAY_IPAY88,ID,286100,,JNE Reguler,3,IDR,1510127688,False,"[{""sku"": 9164, ""item_name"": ""Moko Moko Lip Honey Tint Marker Lip Tint  - Warna Pigmented Tahan Lama Lip Tint"", ""item_sku"": 682762, ""variation_discounted_price"": ""52100"", ""variation_id"": 619534, ""variation_name"": ""Fuschia"", ""item_id"": 746903, ""variation_quantity_purchased"": 1, ""variation_sku"": 638116, ""variation_original_price"": ""79000""}, {""sku"": 7195, ""item_name"": ""Moko Moko Lip Honey Tint Marker Lip Tint  - Warna Pigmented Tahan Lama Lip Tint"", ""item_sku"": 174117, ""variation_discounted_price"": ""52100"", ""variation_id"": 182296, ""variation_name"": ""Neon Pink"", ""item_id"": 243892, ""variation_quantity_purchased"": 1, ""variation_sku"": 211584, ""variation_original_price"": ""79000""}, {""sku"": 3482, ""item_name"": ""Moko Moko Lip Honey Tint Marker Lip Tint  - Warna Pigmented Tahan Lama Lip Tint"", ""item_sku"": 919913, ""variation_discounted_price"": ""52100"", ""variation_id"": 320708, ""variation_name"": ""Red"", ""item_id"": 161100, ""variation_quantity_purchased"": 1, ""variation_sku"": 339577, ""variation_original_price"": ""79000""}, {""sku"": 8393, ""item_name"": ""Moko Moko Lip Honey Tint Marker Lip Tint  - Warna Pigmented Tahan Lama Lip Tint"", ""item_sku"": 369602, ""variation_discounted_price"": ""52100"", ""variation_id"": 611488, ""variation_name"": ""Rich PInk"", ""item_id"": 857184, ""variation_quantity_purchased"": 1, ""variation_sku"": 561091, ""variation_original_price"": ""79000""}, {""sku"": 7281, ""item_name"": ""Moko Moko Sugar Lips Lipstick Satin Creamy - Lipstik"", ""item_sku"": 156471, ""variation_discounted_price"": ""49700"", ""variation_id"": 550782, ""variation_name"": ""Peach"", ""item_id"": 216530, ""variation_quantity_purchased"": 1, ""variation_sku"": 158101, ""variation_original_price"": ""79000""}]",37070153,SHIPPED,28000,"{""town"": """", ""city"": ""KOTA PEKANBARU"", ""name"": ""Random Person 21"", ""district"": ""District 21"", ""country"": ""ID"", ""zipcode"": 1254, ""full_address"": ""Address 21 at 1255"", ""phone"": ""12345-6789"", ""state"": ""RIAU""}",shopee-order-id-21
False,1510281623,0,130745,,PAY_SHOPEE_WALLET,ID,159000,,JNE REG,3,IDR,1510148711,False,"[{""sku"": 4347, ""item_name"": ""Cottage Moisturizing Body Milk 250ml  - Pelembab Tubuh Body Lotion"", ""item_sku"": 202799, ""variation_discounted_price"": ""85000"", ""variation_id"": 747621, ""variation_name"": ""Kiwi 250ml"", ""item_id"": 518200, ""variation_quantity_purchased"": 1, ""variation_sku"": 547136, ""variation_original_price"": ""85000""}, {""sku"": 5275, ""item_name"": ""Mizzu Eyeliner Pen Perfect Wear ( Brown )"", ""item_sku"": 661353, ""variation_discounted_price"": ""46000"", ""variation_id"": 885560, ""variation_name"": ""Mizzu Eyeliner Pen Perfect Wear ( Brown )"", ""item_id"": 589695, ""variation_quantity_purchased"": 1, ""variation_sku"": 283390, ""variation_original_price"": ""46000""}]",16851408,SHIPPED,28000,"{""town"": """", ""city"": ""KOTA BATAM"", ""name"": ""Random Person 22"", ""district"": ""District 22"", ""country"": ""ID"", ""zipcode"": 1255, ""full_address"": ""Address 22 at 1256"", ""phone"": ""12345-6789"", ""state"": ""KEPULAUAN RIAU""}",shopee-order-id-22
False,1510281778,36000,101150,,PAY_IPAY88,ID,101150,,JNE REG,3,IDR,1510152701,False,"[{""sku"": 1009, ""item_name"": ""Moko Moko Fair Melody BB Cream (#Natural)"", ""item_sku"": 627503, ""variation_discounted_price"": ""65150"", ""variation_id"": 279513, ""variation_name"": """", ""item_id"": 258558, ""variation_quantity_purchased"": 1, ""variation_sku"": 386202, ""variation_original_price"": ""75000""}]",65158243,SHIPPED,36000,"{""town"": """", ""city"": ""KAB. PASAMAN"", ""name"": ""Random Person 23"", ""district"": ""District 23"", ""country"": ""ID"", ""zipcode"": 1256, ""full_address"": ""Address 23 at 1257"", ""phone"": ""12345-6789"", ""state"": ""SUMATERA BARAT""}",shopee-order-id-23
False,1510207163,9000,52579,,PAY_IPAY88,ID,52579,Nomor : 03,JNE REG,3,IDR,1510206695,False,"[{""sku"": 2260, ""item_name"": ""Wardah Longlasting Lipstick 08 Red Velvet - Liptick Matte"", ""item_sku"": 860188, ""variation_discounted_price"": ""43579"", ""variation_id"": 213662, ""variation_name"": """", ""item_id"": 110548, ""variation_quantity_purchased"": 1, ""variation_sku"": 263264, ""variation_original_price"": ""66000""}]",18298210,INVALID,0,"{""town"": """", ""city"": ""KOTA DEPOK"", ""name"": ""Random Person 24"", ""district"": ""District 24"", ""country"": ""ID"", ""zipcode"": 1257, ""full_address"": ""Address 24 at 1258"", ""phone"": ""12345-6789"", ""state"": ""JAWA BARAT""}",shopee-order-id-24
False,1510207599,9000,55000,,PAY_IPAY88,ID,55000,,JNE REG,3,IDR,1510207594,False,"[{""sku"": 8848, ""item_name"": ""Wardah Longlasting Lipstick - Simply Brown (03)"", ""item_sku"": 870768, ""variation_discounted_price"": ""46000"", ""variation_id"": 838371, ""variation_name"": ""Wardah Longlasting Lipstick - Simply Brown (03)"", ""item_id"": 869689, ""variation_quantity_purchased"": 1, ""variation_sku"": 230539, ""variation_original_price"": ""46000""}]",40258219,UNPAID,0,"{""town"": """", ""city"": ""KOTA DEPOK"", ""name"": ""Random Person 25"", ""district"": ""District 25"", ""country"": ""ID"", ""zipcode"": 1258, ""full_address"": ""Address 25 at 1259"", ""phone"": ""12345-6789"", ""state"": ""JAWA BARAT""}",shopee-order-id-25
False,1510208659,64000,244000,,PAY_BANK_TRANSFER,ID,244000,,JNE REG,3,IDR,1510208654,False,"[{""sku"": 1915, ""item_name"": ""Cottage Shower Gel 250ml - Sabun Mandi Shower Gel"", ""item_sku"": 538473, ""variation_discounted_price"": ""45000"", ""variation_id"": 207261, ""variation_name"": ""Caramel 250ml"", ""item_id"": 333866, ""variation_quantity_purchased"": 1, ""variation_sku"": 100288, ""variation_original_price"": ""45000""}, {""sku"": 9034, ""item_name"": ""Cottage Shower Gel 250ml - Sabun Mandi Shower Gel"", ""item_sku"": 743668, ""variation_discounted_price"": ""45000"", ""variation_id"": 330203, ""variation_name"": ""Green Tea 250ml"", ""item_id"": 780636, ""variation_quantity_purchased"": 1, ""variation_sku"": 761210, ""variation_original_price"": ""45000""}, {""sku"": 6478, ""item_name"": ""Cottage Shower Gel 250ml - Sabun Mandi Shower Gel"", ""item_sku"": 908670, ""variation_discounted_price"": ""45000"", ""variation_id"": 161477, ""variation_name"": ""Vanilla 250ml"", ""item_id"": 648187, ""variation_quantity_purchased"": 2, ""variation_sku"": 549121, ""variation_original_price"": ""45000""}]",81014818,UNPAID,0,"{""town"": """", ""city"": ""KAB. MAMUJU UTARA"", ""name"": ""Random Person 26"", ""district"": ""District 26"", ""country"": ""ID"", ""zipcode"": 1259, ""full_address"": ""Address 26 at 1260"", ""phone"": ""12345-6789"", ""state"": ""SULAWESI BARAT""}",shopee-order-id-26
False,1510211478,0,147700,,PAY_IPAY88,ID,147700,,JNE REG,3,IDR,1510203211,False,"[{""sku"": 9769, ""item_name"": ""COSRX Natural BHA Skin Returning A-Sol"", ""item_sku"": 848251, ""variation_discounted_price"": ""147700"", ""variation_id"": 959286, ""variation_name"": ""COSRX Natural BHA Sk"", ""item_id"": 133426, ""variation_quantity_purchased"": 1, ""variation_sku"": 979698, ""variation_original_price"": ""295400""}]",15359217,READY_TO_SHIP,0,"{""town"": """", ""city"": ""KOTA PONTIANAK"", ""name"": ""Random Person 27"", ""district"": ""District 27"", ""country"": ""ID"", ""zipcode"": 1260, ""full_address"": ""Address 27 at 1261"", ""phone"": ""12345-6789"", ""state"": ""KALIMANTAN BARAT""}",shopee-order-id-27
False,1510217955,4000,130516,,PAY_IPAY88,ID,144100,,JNE REG,3,IDR,1510217950,False,"[{""sku"": 1413, ""item_name"": ""Cottage Shower Lotion 200ml - Body Lotion"", ""item_sku"": 419037, ""variation_discounted_price"": ""88000"", ""variation_id"": 421449, ""variation_name"": ""Strawberry 200ml"", ""item_id"": 184131, ""variation_quantity_purchased"": 1, ""variation_sku"": 465218, ""variation_original_price"": ""88000""}, {""sku"": 4016, ""item_name"": ""Moko Moko Lip Honey Tint Marker Lip Tint  - Warna Pigmented Tahan Lama Lip Tint"", ""item_sku"": 985746, ""variation_discounted_price"": ""52100"", ""variation_id"": 963191, ""variation_name"": ""Fuschia"", ""item_id"": 318300, ""variation_quantity_purchased"": 1, ""variation_sku"": 121061, ""variation_original_price"": ""79000""}]",97801425,UNPAID,0,"{""town"": """", ""city"": ""KOTA PALU"", ""name"": ""Random Person 28"", ""district"": ""District 28"", ""country"": ""ID"", ""zipcode"": 1261, ""full_address"": ""Address 28 at 1262"", ""phone"": ""12345-6789"", ""state"": ""SULAWESI TENGAH""}",shopee-order-id-28
